Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C106, C109, C111, C113, C114, C115, C116",0402,8,0u1,
"C102, C103",0402,2,2n2,
"C104, C107",CP_Radial_D5.0mm_P2.00mm,2,2u2,
"C105, C108, C110, C112",CP_Radial_D5.0mm_P2.00mm,4,10u,
J101,PinHeader_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,
J102,CUI_SJ1-3523N,1,SJ1-3523N,
J103,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
"J104, J105",PinSocket_1x03_P2.54mm_Vertical,2,Conn_01x03_Socket,
J106,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,Screw_Terminal_01x02,
"J107, J108",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20_Pin,
"R101, R102, R103, R104, R105",0603,5,470,
U101,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5102A,
U102,SOIC-8_3.9x4.9mm_P1.27mm,1,NE5532,
U103,SOT-25   SMV_TOS,1,TCR2EF33_LMCT,
