Designator,Mid X,Mid Y,Rotation,Layer
C1,73.185,-66.53113,180.0,top
C10,118.905,-66.53113,180.0,top
C11,128.935,-68.23113,90.0,top
C12,130.335,-66.53113,180.0,top
C13,141.765,-66.53113,180.0,top
C14,140.365,-68.23113,90.0,top
C15,151.795,-68.23113,90.0,top
C16,153.195,-66.53113,180.0,top
C17,164.625,-66.53113,180.0,top
C18,163.225,-68.23113,90.0,top
C19,174.655,-68.23113,90.0,top
C2,71.785,-68.23113,90.0,top
C20,176.055,-66.53113,180.0,top
C21,187.485,-66.53113,180.0,top
C22,186.085,-68.23113,90.0,top
C23,198.915,-66.53113,180.0,top
C24,197.515,-68.23113,90.0,top
C25,208.945,-68.23113,90.0,top
C26,210.345,-66.53113,180.0,top
C27,220.375,-68.23113,90.0,top
C28,221.775,-66.53113,180.0,top
C29,71.8,-91.22113,90.0,top
C3,84.615,-66.53113,180.0,top
C30,73.2,-89.52113,180.0,top
C31,83.215,-91.22113,90.0,top
C32,84.615,-89.52113,180.0,top
C33,94.645,-91.22113,90.0,top
C34,96.045,-89.52113,180.0,top
C35,106.075,-91.22113,90.0,top
C36,107.475,-89.52113,180.0,top
C37,117.505,-91.22113,90.0,top
C38,118.905,-89.52113,180.0,top
C39,128.935,-91.22113,90.0,top
C4,83.215,-68.23113,90.0,top
C40,130.335,-89.52113,180.0,top
C41,140.365,-91.22113,90.0,top
C42,141.765,-89.52113,180.0,top
C43,151.795,-91.22113,90.0,top
C44,153.195,-89.52113,180.0,top
C45,164.625,-89.52113,180.0,top
C46,163.225,-91.22113,90.0,top
C47,174.655,-91.22113,90.0,top
C48,176.055,-89.52113,180.0,top
C49,186.085,-91.22113,90.0,top
C5,94.645,-68.23113,90.0,top
C50,187.485,-89.52113,180.0,top
C51,198.915,-89.56113,180.0,top
C52,197.515,-91.26113,90.0,top
C53,210.345,-89.52113,180.0,top
C54,208.945,-91.22113,90.0,top
C55,220.375,-91.22113,90.0,top
C56,221.775,-89.52113,180.0,top
C6,96.045,-66.53113,180.0,top
C7,106.075,-68.23113,90.0,top
C8,107.475,-66.53113,180.0,top
C9,117.505,-68.23113,90.0,top
J1,210.0514,-87.38373,0.0,bottom
J2,234.4674,-100.37373,270.0,top
J3,234.4674,-77.38373,270.0,top
R1,71.785,-75.73363,90.0,top
R10,81.385,-66.53113,0.0,top
R100,149.965,-66.53113,0.0,top
R101,147.565,-88.33113,0.0,top
R102,145.265,-88.33113,0.0,top
R103,142.965,-88.33113,0.0,top
R104,140.365,-87.73113,270.0,top
R105,149.865,-88.33113,0.0,top
R106,151.795,-75.73363,90.0,top
R107,151.795,-78.13363,90.0,top
R108,151.795,-80.53113,270.0,top
R109,151.795,-82.93113,270.0,top
R11,78.985,-88.33113,0.0,top
R110,151.795,-85.33113,270.0,top
R111,151.795,-70.93363,90.0,top
R112,151.795,-73.33363,90.0,top
R113,155.695,-66.53113,180.0,top
R114,159.095,-66.53113,0.0,top
R115,161.395,-66.53113,0.0,top
R116,158.995,-88.33113,0.0,top
R117,156.695,-88.33113,0.0,top
R118,154.395,-88.33113,0.0,top
R119,151.795,-87.73113,270.0,top
R12,76.685,-88.33113,0.0,top
R120,161.295,-88.33113,0.0,top
R121,163.225,-75.73363,90.0,top
R122,163.225,-78.13363,90.0,top
R123,163.225,-80.53113,270.0,top
R124,163.225,-82.93113,270.0,top
R125,163.225,-85.33113,270.0,top
R126,163.225,-70.93363,90.0,top
R127,163.225,-73.33363,90.0,top
R128,167.125,-66.53113,180.0,top
R129,170.525,-66.53113,0.0,top
R13,74.385,-88.33113,0.0,top
R130,172.825,-66.53113,0.0,top
R131,170.425,-88.33113,0.0,top
R132,168.125,-88.33113,0.0,top
R133,165.825,-88.33113,0.0,top
R134,163.225,-87.73113,270.0,top
R135,172.725,-88.33113,0.0,top
R136,174.655,-75.73363,90.0,top
R137,174.655,-78.13363,90.0,top
R138,174.655,-80.53113,270.0,top
R139,174.655,-82.93113,270.0,top
R14,71.785,-87.73113,270.0,top
R140,174.655,-85.33113,270.0,top
R141,174.655,-70.93363,90.0,top
R142,174.655,-73.33363,90.0,top
R143,178.555,-66.53113,180.0,top
R144,181.955,-66.53113,0.0,top
R145,184.255,-66.53113,0.0,top
R146,181.855,-88.33113,0.0,top
R147,179.555,-88.33113,0.0,top
R148,177.255,-88.33113,0.0,top
R149,174.655,-87.73113,270.0,top
R15,81.285,-88.33113,0.0,top
R150,184.155,-88.33113,0.0,top
R151,186.085,-75.73363,90.0,top
R152,186.085,-78.13363,90.0,top
R153,186.085,-80.53113,270.0,top
R154,186.085,-82.93113,270.0,top
R155,186.085,-85.33113,270.0,top
R156,186.085,-70.93363,90.0,top
R157,186.085,-73.33363,90.0,top
R158,189.985,-66.53113,180.0,top
R159,193.385,-66.53113,0.0,top
R16,83.215,-75.73363,90.0,top
R160,195.685,-66.53113,0.0,top
R161,193.285,-88.33113,0.0,top
R162,190.985,-88.33113,0.0,top
R163,188.685,-88.33113,0.0,top
R164,186.085,-87.73113,270.0,top
R165,195.585,-88.33113,0.0,top
R166,197.515,-75.73363,90.0,top
R167,197.515,-78.13363,90.0,top
R168,197.515,-80.53113,270.0,top
