Designator,Mid X,Mid Y,Rotation,Layer
C101,129.47,-102.375,0.0,top
C102,124.4375,-108.975,90.0,top
C103,123.125,-107.3425,90.0,top
C104,135.1375,-97.275,0.0,top
C105,141.1375,-97.275,0.0,top
C106,140.4375,-103.675,180.0,top
C107,125.1375,-103.275,180.0,top
C108,129.1375,-97.275,180.0,top
C109,138.6375,-101.075,180.0,top
C110,133.492612,-111.975,180.0,top
C111,129.525,-109.275,90.0,top
C112,145.1375,-103.275,0.0,top
C113,166.2225,-105.76925,270.0,top
C114,171.6625,-113.98675,90.0,top
C115,138.9263,-90.325001,180.0,top
C116,131.8263,-90.724999,90.0,top
J101,109.77,-76.87,0.0,top
J102,189.396,-110.0,90.0,top
J103,175.226,-60.329045,180.0,top
J104,126.966,-59.059045,0.0,top
J105,157.446,-86.999045,90.0,top
J106,189.6025,-61.59,90.0,top
J107,84.37,-120.0,90.0,top
J108,144.13,-120.0,270.0,top
R101,126.9375,-108.375,180.0,top
R102,126.9375,-106.775,180.0,top
R103,169.7225,-105.76925,0.0,top
R104,168.1625,-116.11925,0.0,top
R105,179.0875,-64.0,0.0,top
U101,135.1375,-105.275,270.0,top
U102,168.1275,-110.99425,180.0,top
U103,135.2819,-91.275,0.0,top
