Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102, C107",0805,3,10u,C15850
"C103, C104",0603,2,22n,C21122
"C105, C109, C110, C111, C112",0603,5,1u,C15849
"C106, C108",CP_EIA-3528-21_Kemet-B_HandSolder,2,100u,C16133
J101,CONN_12402032E202A_AMP,1,12402032E202A,
J102,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Screw_Terminal_01x02,
J103,CUI_SJ1-3523N,1,SJ1-3523N,
"R101, R103",0402,2,5k1,C25905
"R102, R106",0402,2,1k5,C25867
"R104, R105",0402,2,22,C25092
"R107, R108",0402,2,16,
"R109, R110, R111, R112",0402,4,3k3,C25890
R113,0402,1,1M,C26083
"S101, S102, S103, S104, S105",SW_TL2230EEF100,5,TL2285OA,
U101,SOT-23-5,1,TLV73333PDBV,
U102,QFP80P900X900X120-32N,1,PCM2706CPJTR,
Y101,OSC_CSTNE12M0G55A000R0,1,CSTNE12M0G55A000R0,
