Designator,Mid X,Mid Y,Rotation,Layer
C101,79.455,-65.265,270.0,top
C102,79.355,-73.865,180.0,top
C103,91.1,-70.3,180.0,top
C104,91.2,-64.2,180.0,top
C105,92.7,-89.3,0.0,top
C106,96.4,-70.3,180.0,top
C107,78.5,-82.1,180.0,top
C108,96.4,-64.2,180.0,top
C109,81.7,-80.4,90.0,top
C110,76.0,-86.8,180.0,top
C111,88.2,-80.0,90.0,top
C112,91.6,-84.9,0.0,top
J101,105.135,-88.050001,270.0,top
J102,69.96,-60.7,180.0,top
J103,106.296,-67.4,90.0,top
R101,109.3,-86.0,90.0,top
R102,109.3,-88.500001,90.0,top
R103,100.8,-89.400001,270.0,top
R104,91.3,-86.6,180.0,top
R105,91.3,-87.8,180.0,top
R106,87.7,-95.6,0.0,top
R107,90.8,-72.1,0.0,top
R108,90.9025,-62.5,0.0,top
R109,83.2,-80.2,90.0,top
R110,86.7,-79.9025,90.0,top
R111,97.4,-73.0,180.0,top
R112,97.4,-61.6,180.0,top
R113,84.0975,-98.9,0.0,top
S101,60.0,-70.0,0.0,top
S102,60.0,-80.0,0.0,top
S103,60.0,-110.0,0.0,top
S104,60.0,-90.0,0.0,top
S105,60.0,-100.0,0.0,top
U101,79.5,-70.0375,90.0,top
U102,84.13,-88.8,0.0,top
Y101,84.0175,-96.3,0.0,top
