"Qty","DigiKey Part #"
"4","399-A758BG106M1EAAE070-ND"
"1","490-4935-1-ND"
"1","1276-CL10B104KB8NNNLCT-ND"
"1","1276-1025-1-ND"
"1","399-13899-ND"
"3","1276-1184-1-ND"
"1","497-8038-1-ND"
"1","664-12402032E202ACT-ND"
"1","497-15520-1-ND"
"2","497-15315-1-ND"
"1","P200KDBCT-ND"
"1","RR05P13.0KDCT-ND"
"1","RG16P4.7KBCT-ND"
"1","A102288CT-ND"
"1","13-RC0402DR-078K66LCT-ND"
"1","P33KDACT-ND"
"1","311-100KJRCT-ND"
"1","RMCF0805JT820RCT-ND"
"2","311-10KJRCT-ND"
"1","311-2.20KHRCT-ND"
"1","311-100LRCT-ND"
"1","497-19076-1-ND"
