Designator,Mid X,Mid Y,Rotation,Layer
C1,106.172,-55.388,90.0,top
C10,157.0625,-72.252,180.0,top
C11,164.646988,-57.049299,0.0,top
C2,113.284,-55.388,90.0,top
C3,118.364,-55.372,270.0,top
C4,125.476,-59.944,0.0,top
C5,132.08,-53.708,0.0,top
C6,138.7,-57.097349,270.0,top
C7,146.7,-56.144888,270.0,top
C8,160.264,-70.3735,270.0,top
C9,157.0625,-73.776,180.0,top
D1,118.715,-67.056,0.0,top
J1,101.4275,-66.543,270.0,top
J2,145.505,-71.1,270.0,top
J3,163.050001,-64.635,180.0,top
L1,133.604,-68.072,0.0,top
Q1,161.28,-75.808,270.0,top
Q2,152.725,-55.0625,90.0,top
Q3,157.48,-57.404,0.0,top
R1,151.228,-70.079,0.0,top
R10,153.175,-58.8,270.0,top
R11,157.1125,-75.3,180.0,top
R12,162.5701,-60.605299,0.0,top
R2,152.8,-68.675,0.0,top
R3,152.6,-79.65275,180.0,top
R4,141.976,-76.316,90.0,top
R5,148.072,-75.808,270.0,top
R6,145.024,-75.3,90.0,top
R7,149.6,-78.2,180.0,top
R8,163.312,-72.236,90.0,top
R9,161.28,-78.856,180.0,top
U1,125.3815,-55.613,180.0,top
U2,151.894,-75.05,0.0,top
