Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,100n,
"D1, D2, D3",D_DO-41_SOD81_P10.16mm_Horizontal,3,1N4007,
J1,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"J3, J4, J5",PinHeader_1x03_P2.54mm_Vertical,3,Conn_01x03_Pin,
"Q1, Q2, Q3",TO-92_Inline,3,BC547,
"R1, R2, R3",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,680,
"S1, S2, S3, S4, S5",SW_TL2230EEF100,5,TL2230EEF100,
U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,STM32L432KCUx,
"U2, U3, U4",RELAY_J104D2C3VDC.20S_CRS,3,J104D2C3VDC.20S,
